"ocupacao_codigo","ocupacao_nome","ocupacao_nivel_superior","Ano","Trimestre","periodo","peso_total_ocupados_ocupacao","registros_total_ocupados_ocupacao","peso_universo_superior_completo_classificado_ocupacao","registros_universo_superior_completo_classificado_ocupacao","peso_sobreeducados","registros_sobreeducados","percentual_sobreeducados_no_total_ocupados_ocupacao","percentual_sobreeducados_entre_superior_completo_classificado_ocupacao","peso_sobreeducados_total_periodo","participacao_da_ocupacao_no_total_sobreeducados_periodo","registros_com_ocupacao_e_peso_valido","registros_com_rendimento_habitual","rendimento_habitual_medio_ponderado","registros_com_rendimento_efetivo","rendimento_efetivo_medio_ponderado"
"8143","Operadores de máquinas para fabricar produtos de papel",0,2025,4,"2025-T4",37753.06001741,67,5240.76708017,7,5240.76708017,7,13.8817,100,13434052.8383617,0.039,67,67,3063.69419178431,67,3308.75860277441
"9212","Trabalhadores elementares da pecuária",0,2025,4,"2025-T4",540598.88462046,2395,5106.01103856,21,5106.01103856,21,0.9445,100,13434052.8383617,0.038,2395,2063,1256.84226160833,1966,1317.99502226146
"7413","Instaladores e reparadores de linhas elétricas",0,2025,4,"2025-T4",75926.57081016,171,5031.98130822,9,5031.98130822,9,6.6274,100,13434052.8383617,0.0375,171,171,3081.05153938553,169,3526.74128529898
"4212","Coletores de apostas e de jogos",0,2025,4,"2025-T4",55562.56989541,111,4822.13863827,7,4822.13863827,7,8.6788,100,13434052.8383617,0.0359,111,110,1659.89300693012,109,1712.06789089775
"3315","Avaliadores",0,2025,4,"2025-T4",5557.09330349,10,4784.1510788,8,4784.1510788,8,86.0909,100,13434052.8383617,0.0356,10,10,6228.01766586815,10,7433.2802557717
"3141","Técnicos e profissionais de nível médio em ciências biológicas (exclusive da medicina)",0,2025,4,"2025-T4",21017.10365108,33,4720.05000822,12,4720.05000822,12,22.4581,100,13434052.8383617,0.0351,33,31,2542.16056495264,31,2689.07800522094
"3435","Outros profissionais de nível médio em atividades culturais e artísticas",0,2025,4,"2025-T4",36001.12541572,58,4691.30742431,7,4691.30742431,7,13.031,100,13434052.8383617,0.0349,58,57,3990.86344326551,56,3468.58214760575
"7534","Tapeceiros, colchoeiros e afins",0,2025,4,"2025-T4",81884.56947815,175,4572.80777093,8,4572.80777093,8,5.5845,100,13434052.8383617,0.034,175,170,2415.79606931009,170,2480.38838952202
"3256","assistentes de medicina",0,2025,4,"2025-T4",38153.31341193,74,4559.56238571,12,4559.56238571,12,11.9506,100,13434052.8383617,0.0339,74,57,2356.19187793516,57,2391.16991593822
"9623","Coletores de dinheiro em máquinas automáticas de venda e leitores de medidores",0,2025,4,"2025-T4",40445.24243748,58,4291.46637355,7,4291.46637355,7,10.6106,100,13434052.8383617,0.0319,58,58,2945.44497544736,58,3388.89525974111
"9612","Classificadores de resíduos",0,2025,4,"2025-T4",292219.72965349,609,4076.13306206,5,4076.13306206,5,1.3949,100,13434052.8383617,0.0303,609,599,1285.38116787853,583,1236.53616133499
"8343","Operadores de guindastes, gruas, aparatos de elevação e afins",0,2025,4,"2025-T4",79541.99546971,167,3919.74242078,9,3919.74242078,9,4.9279,100,13434052.8383617,0.0292,167,167,3055.63721801318,165,3150.70142922055
"3131","Operadores de instalações de produção de energia",0,2025,4,"2025-T4",10179.15777243,21,3885.64091821,6,3885.64091821,6,38.1725,100,13434052.8383617,0.0289,21,21,6813.7471142228,21,7411.63664474426
